[SAVE] New best avg score: 100.00
Episode 175/50000, Score: 30, Reward: -0.5999999999999996, Avg: 46.666666666666664, Actor loss: -3.7848, Critic loss: 19.3219, Total loss: 5.8761
Episode 176/50000, Score: 50, Reward: 1.0000000000000107, Avg: 48.333333333333336, Actor loss: -9.1295, Critic loss: 61.7048, Total loss: 21.7229
Episode 177/50000, Score: 30, Reward: -0.40000000000000036, Avg: 48.333333333333336, Actor loss: -0.8526, Critic loss: 13.8203, Total loss: 6.0576
Episode 178/50000, Score: 90, Reward: 30.59999999999998, Avg: 50.833333333333336, Actor loss: -10.4899, Critic loss: 49.1950, Total loss: 14.1076
Episode 179/50000, Score: 50, Reward: 8.600000000000001, Avg: 50.833333333333336, Actor loss: 4.0827, Critic loss: 42.8687, Total loss: 25.5171
Episode 180/50000, Score: 40, Reward: 6.5, Avg: 50.0, Actor loss: -4.1872, Critic loss: 32.0185, Total loss: 11.8221
Episode 181/50000, Score: 110, Reward: 35.099999999999994, Avg: 56.666666666666664, Actor loss: 7.3834, Critic loss: 345.5260, Total loss: 180.1464
Episode 182/50000, Score: 50, Reward: 9.700000000000006, Avg: 52.5, Actor loss: -3.8629, Critic loss: 29.4627, Total loss: 10.8685
Episode 183/50000, Score: 30, Reward: -0.6000000000000014, Avg: 52.5, Actor loss: -1.6687, Critic loss: 10.4218, Total loss: 3.5422
Episode 184/50000, Score: 60, Reward: 14.700000000000006, Avg: 51.666666666666664, Actor loss: 1.9839, Critic loss: 84.4366, Total loss: 44.2022
Episode 185/50000, Score: 50, Reward: 2.4000000000000057, Avg: 51.666666666666664, Actor loss: -9.2361, Critic loss: 81.8134, Total loss: 31.6706
Episode 186/50000, Score: 80, Reward: 25.5, Avg: 55.833333333333336, Actor loss: 1.5957, Critic loss: 178.7634, Total loss: 90.9774
Episode 187/50000, Score: 50, Reward: 7.400000000000006, Avg: 57.5, Actor loss: -5.0280, Critic loss: 31.3430, Total loss: 10.6435
